college_name,district,branch,OC,BC,BCM,MBC,SC,SCA,ST
KCG College of Technology,Chennai,Computer Science and Engineering,174.5,168,165,171,166,160,150
KCG College of Technology,Chennai,Artificial Intelligence and Data Science,172,166,163,169,166,158,148
Tagore Engineering College,Chennai,Computer Science and Engineering,168,160,158,164,155,150,145
Tagore Engineering College,Chennai,Artificial Intelligence and Data Science,165,158,155,162,150,146,140
Gojan School of Business and Technology,Tiruvallur,Computer Science and Engineering,155,148,145,151,140,136,130
Gojan School of Business and Technology,Tiruvallur,Artificial Intelligence and Data Science,150,145,140,147,135,130,125
Jaya Engineering College,Tiruvallur,Computer Science and Engineering,160,153,150,156,145,140,135
Rajalakshmi Engineering College,Chennai,Computer Science and Engineering,190,184,180,187,175,170,165
Madhha Engineering College,Chennai,Artificial Intelligence and Data Science,145,138,135,142,125,120,115
Arunai Engineering College,Tiruvannamalai,Agricultural Engineering,140,132,128,136,120,115,110
Mahath Amma Institute of Engineering and Technology,Pudukkottai,Civil Engineering,125,118,115,121,105,100,95
